,Name,Album,Artist,Link,Image
40,Love Lost,"I Love Life, Thank You",Mac Miller,https://p.scdn.co/mp3-preview/00be55b4568a2fe3985459db905d3e9ca2d845fd?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273c8a77225ad852699c908ac4b
41,MONTERO (Call Me By Your Name),MONTERO,Lil Nas X,https://p.scdn.co/mp3-preview/6d0edb4a3a0061ad162b279081c3f573e9d0dd40?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273be82673b5f79d9658ec0a9fd
42,Numb,Numb,Marshmello,https://p.scdn.co/mp3-preview/6e5fe36b5436d7e0355114f954f19b557cd81058?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2732ff34dbc50313f8cea7b5db5
43,Rock My Body,Rock My Body (with INNA & Sash!),R3HAB,https://p.scdn.co/mp3-preview/962a8a205fd27aff7d24bda48a597d19e2307fc4?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b27368eb565abb15fc77286076f8
44,Car Keys (Ayla),Car Keys (Ayla),Alok,https://p.scdn.co/mp3-preview/ef40d2697f0281f1fb27a213aac89790a7b4d9d6?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2735a030481b0ad9a9efa103bf8
45,Where Did You Go? (feat. MNEK),Where Did You Go (feat. MNEK),Jax Jones,null,https://i.scdn.co/image/ab67616d0000b273490a887b85a95378ea66b41d
46,Heaven,The Show,Niall Horan,null,https://i.scdn.co/image/ab67616d0000b2732a368fea49f5c489a9dc3949
47,Crazy What Love Can Do,Crazy What Love Can Do,David Guetta,https://p.scdn.co/mp3-preview/fdb85e5b7fa3838d29e9909819ec82ed9da757dd?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273654c0a1cb2c30dd8e11c0186
48,OUT OUT (feat. Charli XCX & Saweetie),OUT OUT (feat. Charli XCX & Saweetie),Joel Corry,https://p.scdn.co/mp3-preview/67d7d482ebf4bd1694d4e60c4a47f604880ab98a?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2730abb7463b44d1be6243642f4
49,Speed Drive (From Barbie The Album),Speed Drive (From Barbie The Album),Charli XCX,https://p.scdn.co/mp3-preview/bd0a080a87ce594303d57981d921d65e12af6599?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273cd6f4f3b7d178e0a8b963da1
50,Butter,Proof,BTS,https://p.scdn.co/mp3-preview/4d63fe1638aa41592706f835bd076443b09d8afa?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b27317db30ce3f081d6818a8ad49
51,I Don't Care (with Justin Bieber),I Don't Care (with Justin Bieber),Ed Sheeran,https://p.scdn.co/mp3-preview/03dbc7b6fcafda4f5c223036f0ca919f2b65da25?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b27323d36bb2f358094e0271c472
52,Players,Players,Coi Leray,null,https://i.scdn.co/image/ab67616d0000b2735626453d29a0124dea22fb1b
53,Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,https://p.scdn.co/mp3-preview/e3ea7622ca746e1e96c3dac7d7e07b7ccfdeb3f1?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2736c031afd210aed3084f80956
54,Bam Bam (feat. Ed Sheeran),Bam Bam (feat. Ed Sheeran),Camila Cabello,https://p.scdn.co/mp3-preview/1bd8b56f5623c6eee74601848b0abdca40688743?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273364ef5f9057092741f667fea
55,Green Green Grass,Gold Rush Kid,George Ezra,https://p.scdn.co/mp3-preview/0c3b976be5170efd8549b42eb4220a059b75552d?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2739dd1a35ada9870dc879dfb9e
56,Hold Me Closer,Hold Me Closer,Elton John,null,https://i.scdn.co/image/ab67616d0000b2735d872e7b0c1ba964541f07e8
57,Dance Alone,Dance Alone,Sia,https://p.scdn.co/mp3-preview/e8a7c6b5dd774877a96a90e502fa53bae573fcdb?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b27376f471523e101f5601bebab9
58,Don't Start Now,Don't Start Now,Dua Lipa,https://p.scdn.co/mp3-preview/87258da8a9eb8d0a0d53071e06612955e6d3b28f?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b273c35ea649223a519a9ad51ccf
59,Whistle (feat. Calum Scott),Whistle (feat. Calum Scott),Jax Jones,null,https://i.scdn.co/image/ab67616d0000b27341b183071eabe1333167ffab
60,Dance Monkey,Welcome To The Madhouse (Deluxe),Tones And I,https://p.scdn.co/mp3-preview/faad7dce8e7deeb059c7c59645c594c40342812f?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2738e8197111f9d57793a5e7eff
61,Music For a Sushi Restaurant,Harry's House,Harry Styles,https://p.scdn.co/mp3-preview/3badb04493ee555f8909636f0dd909ffd9c385bc?cid=8a2de09d7dbc482ab0fa4875232acd8b,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0
